"nom","annee","adresse","codepostal","ville","mail","www","reseaux","lieu_creation","lieu_diffusion","convention","structure_associee","creation","diffusion","diffusion_region","diffusion_france","diffusion_monde","diffusion_reseaux_sn","diffusion_reseaux_conv","diffusion_reseaux_ccn","diffusion_reseaux_cdn","diffusion_reseaux_thm","diffusion_reseaux_epci","diffusion_reseaux_centreculturel","diffusion_reseaux_mediatheque","diffusion_reseaux_autre","formesartistiques_theatre","formesartistiques_danse","formesartistiques_cirque","formesartistiques_musique","formesartistiques_marionette","formesartistiques_cinema","formesartistiques_theatreobjet","formesartistiques_autre","agecible_0_3ans","agecible_3_6ans","agecible_6_12ans","agecible_12ans","coords__001","coords__002"
"Compagnie Jamais 203","1997","1 rue de la grosse pierre","72440","Bouloire","contact@ciejamais203.com","http://www.ciejamais203.com","Réseau JP Sarthe","Oui","Oui","Non","Théâtre Épidaure","1","0","89","10","1","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Festivals","Oui","Non","Non","Oui","Non","Oui","Oui","","Oui","Non","Oui","Oui","47.973539","0.554081"
"Compagnie Théâtrale Science 89","1989","1 rue Jules Bréchoir","44000","Nantes","info@sallevasse.fr","http://www.sallevasse.fr","","Non","Oui","Non","Salle Vasse","1","4","6","4","0","Non","Non","Non","Non","Oui","Oui","Oui","Non","","Oui","Non","Non","Non","Non","Non","Non","","Non","Oui","Oui","Oui","47.2253984","-1.5228336"
"Cie A Toute Vapeur","2000","10 rue du Général de Wet","44100","Nantes","","http://www.cieatoutevapeur.com","","Non","Non","Non","","2","2","60","40","0","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Milieu scolaire","Oui","Non","Non","Oui","Non","Oui","Non","","Non","Non","Oui","Oui","47.202649","-1.592591"
"Cie Du Bout Du Toit","2008","10 rue Jacqueline Mazé","49130","Les Ponts de Cé","contact@boutdutoit.net","http://www.boutdutoit.n et","","Oui","Non","Non","","1","2","90","10","0","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Milieu scolaire","Oui","Non","Non","Oui","Non","Non","Non","Théâtre d'ombre","Non","Oui","Oui","Non","47.429695","-0.522006"
"Artbiguë Cie","2004","10 rue Jacqueline Mazé","49130","Les Ponts-de-Cé","artbiguecie@yahoo.fr","https://artbigue.jimdo.com","PlatO - Plateforme jeune public des Pays de la Loire","Non","Non","Non","","1","1","99","1","0","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Milieu scolaire","Oui","Non","Non","Non","Non","Non","Non","","Oui","Oui","Oui","Non","47.429695","-0.522006"
"Cie Spectabilis","1988","10 rue Jacqueline Mazé","49130","Les Ponts-de-Cé","cie.spectabilis@wanadoo.fr","http://www.ciespectabilis.com","PlatO - Plateforme jeune public des Pays de la Loire","Oui","Non","Non","","1","5","70","30","0","Non","Oui","Non","Non","Oui","Oui","Oui","Oui","","Oui","Non","Non","Non","Oui","Non","Oui","","Non","Oui","Oui","Non","47.429695","-0.522006"
"Piment, Langue D'Oiseau","2005","10 rue Jacqueline Mazé","49130","Les Ponts-de-Cé","piment.langue.doiseau@gmail.com","http://www.ciepiment.fr","PlatO - Plateforme jeune public des Pays de la Loire","Non","Non","Non","","3","5","102","24","0","Non","Oui","Non","Non","Oui","Oui","Oui","Oui","","Oui","Non","Non","Non","Non","Non","Oui","","Oui","Oui","Oui","Non","47.429695","-0.522006"
"Six Monstres","2005","10 rue Jacqueline Mazé","49130","Les Ponts-de-Cé","sixmonstres@yahoo.fr","http://sixmonstres.com","PlatO - Plateforme jeune public des Pays de la Loire","Non","Non","Non","","1","1","100","0","0","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Milieu scolaire","Oui","Non","Non","Non","Non","Oui","Non","","Non","Non","Oui","Non","47.429695","-0.522006"
"Ana Igluka - Le Thermogène","2006","105 Bd Michelet","44300","Nantes","info@lethermogene.net","http://www.anaigluka.net/","","Non","Non","Non","","2","5","100","0","0","Non","Non","Non","Non","Non","Oui","Non","Oui","Centre socio-culturels\nFestivals","Non","Non","Non","Oui","Non","Non","Non","","Oui","Oui","Oui","Non","47.2386034","-1.5567409"
"Do Mi Sol Théâtre","1995","12 allée des fontaines","72210","Fillé sur Sarthe","cie.metronome@gmail.com","http://metronome.webnode","","Oui","Non","Non","","6","6","50","50","0","Non","Non","Non","Non","Non","Oui","Oui","Non","Milieu scolaire\nComités d'entreprises\nMilieu associatif","Oui","Non","Non","Non","Non","Non","Non","Chant","Non","Oui","Oui","Oui","47.9043241","0.1234976"
